"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"HRV",2039223,0.278409,88.2,2.802480128,3.923028482,1922,4940.49,444,2.932,102943,NA,38.11,2.5,33,27.12,18,0.252085,0.9926,0.16999056,0.059246444,5925949,0.001097783,7.526849393,4071.76
"HTI",NA,0.383886667,86.5,0.265825887,0.605370777,97,10161.4,600,3.053,0,NA,0.27,53.4,0,0,94,0.0733269,0.9626,0.039319838,0.049486286,2318234,0.003596606,2.317200452,NA
"HUN",304273,0.118405233,84.3,2.171781475,2.919642046,2069,19878.82,9937,NA,310840,73.29415101,22.6,2.5,27,22.22,3,0.221538,0.9923,0.17,0.046464778,5798162,0.005386505,8.404408201,16571.04667
"IDN",2681500,0.701481667,95,1.257207862,1.577156966,91010,595076.61,458631,2.2295,2909406,42.46436689,11.87,7.6,1,5.23,40,0.359194,0.9644,0.131870755,0.0102784,113019897,0.0108614,5.114833506,NA
"IMN",NA,0.232288,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,NA,NA,NA,NA,0.0467556,NA,0.009769593,NA,NA,NA,NA,NA
"IND",754911,0.158722333,88.9,0.453955945,1.159269349,70682,1566000.27,1346104,2.957,16934923,31.57768848,5.97,15.2,0,5.5,21,0.296451,0.9906,0.087283462,0.0503894,356689633,0.002991328,18.04398548,NA
"IOM",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051006625,NA,NA,NA,NA
"IOT",NA,0.288184,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,0.047995,NA,NA,0.147324,NA,NA,NA,NA
"IRL",446647,0.216389333,77.4,3.734609331,5.566191258,754.016,11475.8,78,3.234,296160,59.61445449,14.44,2.5,37,66.15,NA,0.135423,0.9979,0.169909578,0.3552715,2827986,0.005328333,4.897809607,5921.413333
"IRN",NA,0.032457733,87.7,0.899766873,2.785344011,10691.98,114876.23,88047,3.3515,261815,46.10185636,8.61,2.5,0,27.78,4,0.352582,0.9972,0.077497568,0.0161354,782000,0,3.222637671,27419.22
"IRQ",NA,0.0312834,89.9,0.285823866,1.880089671,825,48330.63,22848,2.997,146540,33.16197143,1.54,22.8,0,0,NA,0.256119,0.9987,0.008044403,0.0126578,177000,0,3.688729375,4325.2
"ISL",NA,0.118297033,84.5,NA,NA,49.2,236.84,201,3.852,10793,0.249380344,17.44,2.5,50,0,NA,0.374122,1,0.137718492,0.119627,3640,NA,2.260231519,6.286666667
"ISR",NA,NA,81.2,0.353532513,6.21991266,165,3034.66,484,3.9575,39900,28.10073448,19.94,2.5,0,4.17,NA,0.2232,0.9845,0.103359878,0.0989168,27000,0.001740961,3.70711267,NA
"ITA",41444,0.178520667,87,1.076878263,4.609941788,9297,46273.54,3800,3.613,6e+05,56.310598,21.51,2.5,52,21.33,4,0.259014,0.9927,0.169968072,0.089365333,5758866,0.001515669,7.835218661,115868
"JAM",NA,0.560163,95.2,0.430312182,1.890682828,335.2,2236.49,698,3.49,4745,25.97022112,15.91,8.1,0,7.89,89,0.176378,0.9689,0.169900634,0.072326857,680502,0.003778193,2.000550628,NA
"JEY",NA,0.232331667,82.8,NA,NA,0.6,NA,NA,NA,NA,NA,13.58,NA,NA,NA,NA,0.0914257,NA,0.166493042,0.065547,NA,6.54e-05,NA,NA
"JOR",NA,NA,85.2,0.21171263,2.098434509,97.5,12213.4,596,2.207,28475,43.99721849,1.73,2.5,0,0,91,0.263928,0.9947,0.04359767,0.042282,338087,0.000172398,3.119985956,NA
"JPN",393603,0.505768333,97.7,0.716328213,5.020801173,24958,24237.07,32868,4.08433333333333,400767,43.85337567,19.36,2.5,17,25.76,1,0.223976,0.979,0.168623691,0.0303122,21331171,0.00118032,7.266723835,107369.6
"KAZ",NA,0.241235,65.3,3.40783714,5.548782307,3309,61798.2,41489,NA,63242,NA,3.28,2.5,0,5,52,0.311131,0.9981,0.04815428,0.0015936,340000,4.27e-05,2.847397763,19047.82
"KEN",NA,0.112428967,80.2,0.512337139,1.034817287,4413,46358.44,162972,3.318,51686,46.24330566,12.36,21.2,0,11.88,12,0.386559,0.9902,0.152251042,0.022881875,27432000,0.004704197,3.100387,NA
"KGZ",NA,0.088164833,77.9,1.300507908,1.906634527,637,6231.56,31,NA,26623,NA,6.51,6,0,0,5,0.242563,0.9956,0.139003287,0.0095628,45920,0,3.559359508,730.2
"KHM",12746,0.306629333,95,1.092626357,1.207404851,9457,28028,488655,2,96366,79.05501177,26.03,14.2,0,6.67,55,0.427871,0.9508,0.168364903,0.041424,8186280,0.015063109,10.11345891,NA
"KIR",NA,0.145811667,NA,NA,NA,12.15,663.35,0,3.03833333333333,0,NA,22.37,2.5,0,34.78,100,0,NA,0.147088098,0,3140,NA,0.608511567,NA
"KNA",NA,0.392723,98.1,0.623508262,4.936001072,11,13167.79,0,3.654,8,19.28394081,3.32,NA,0,NA,NA,0,NA,0.169918956,0.076007333,NA,7.21e-05,NA,2.993333333
"KOR",390568,0.398005667,96.9,0.680068554,5.688279577,6184,16098.34,9133,3.46,253658,31.37418252,11.23,2.5,46,7.5,62,0.164148,0.9857,0.092437001,0.0515874,5179000,0.003230449,10.6620981,37289.33333
"KWT",NA,NA,80.9,0.554108964,8.132762831,6.25,3393.7,0,3.153,0,NA,17.5,2.5,0,12.5,NA,0.226363,0.9944,0.162054133,0.127782,19250,NA,3.142315269,NA
"LAO",317,0.511302333,100.5,1.618158289,1.21892174,18761.41,13132.91,62636,NA,0,91.26797389,16.68,18.5,0,6.67,87,0.374668,0.9374,0.157377347,0.0165448,9831357,0.014906715,8.574300124,114.9466667
"LBN",NA,NA,84.7,0.328119363,3.83953299,137.3,2063.74,20,3.479,16572,59.75542644,2.59,2.5,0,0,1,0.0839776,0.9897,0.068060024,0.056666667,25887,0.002661409,4.058742428,NA
"LBR",NA,0.541842667,93.8,2.567880361,1.213120904,4179,4903.21,2200,2.871,0,NA,2.49,31.9,0,0,95,0.302981,0.9612,0.038174009,0.005253667,8741818,0.01982052,4.006542184,NA
"LBY",NA,NA,84.2,NA,NA,217,5642.46,0,2.462,0,19.18150584,0.21,NA,0,0,NA,0.274492,0.9985,0.009094572,0,1115412,2.85e-05,1.426707741,NA
"LCA",NA,0.655138333,96,0.343670255,2.445866687,20.3,16.16,0,3.714,301,NA,18.8,NA,0,NA,18,0.11377,NA,0.169440334,0.1091985,9883,0.000141434,NA,NA
"LIE",NA,0.342821,94,NA,NA,6.9,NA,0,NA,NA,NA,42.49,2.5,0,50,NA,0.21844,NA,0.17,0.252908778,20812,0.000145143,NA,NA
"LKA",14603,0.458425,96.9,0.440021639,1.324895863,2070,28233.66,67300,3.036,227403,32.65619838,29.86,22,5,12.9,4,0.273811,0.9818,0.139106331,0.0553408,5527061,0.001878936,4.292974246,2187.633333
"LSO",NA,NA,88.1,0.784885556,1.656824633,49,1295.34,52,NA,0,18.79053721,0.26,11.2,0,0,98,0.159057,0.9962,0.020690962,0.064877125,2123509,0.000154404,5.63440462,334.16
"LTU",1083790,0.368351333,85,5.665002754,5.834783461,2180,8083.15,1437,3.449,101973,NA,16.94,2.5,0,60.71,11,0.196468,0.9938,0.169890347,0.024500444,7351000,0.006761871,5.768018188,5080.726667
"LUX",21521,0.344466333,88.8,1.676186316,15.81747699,86.7,555.18,0,NA,24052,NA,32.27,2.5,99,0,34,0.143434,0.9847,0.17,0.543536667,352692,0.003231787,15.36866379,NA
"LVA",1702655,0.426715333,86.9,9.552216128,6.289943495,3356,4510.28,226,3.244,75198,NA,18.17,2.5,59,52.86,31,0.290232,0.9839,0.16830539,0.10427025,12885000,0.008675848,4.826299503,2709.506667
"MAC",NA,0.210590667,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,124
"MAF",NA,NA,105.4,NA,NA,1.144,NA,NA,2.967,NA,NA,16.78,NA,NA,NA,NA,0.022926,NA,0.17,0.076007333,NA,0,NA,NA
"MAR",NA,0.0379548,82.8,0.713602349,1.678405901,5632,37607.82,15006,2.917,233016,108.7369603,30.81,2.5,0,14.02,1,0.553918,0.9871,0.166841553,0.025910571,7118711,0.001467835,2.572276758,NA
"MCO",NA,NA,88.2,NA,NA,0,NA,NA,NA,0,NA,62.5,2.5,0,NA,NA,0,NA,0.17,0.167531778,NA,0,NA,NA
"MDA",NA,0.157868067,82.2,0.796908624,1.777825773,409,7573.51,50,NA,52000,NA,4.15,2.5,0,0,69,0.082969,0.987,0.050567712,0.009302667,1371810,0.001392319,7.390467405,4725.47
"MDG",1298,0.171079667,83.6,2.630396173,0.988931508,12473,33499.81,25988,2.714,11357,104.7776406,5.25,33,0,33.62,52,0.226932,0.9327,0.108923507,0.035302,13774344,0.017606158,1.531952118,893.02
"MDV",NA,0.236973333,96.1,NA,NA,1,1897.24,0,4.298,277,NA,0.98,5.2,0,0,NA,0.00448584,NA,0.044449796,0.0047,16048,0,NA,NA
"MEX",921387,0.250742,83.3,1.268807578,2.885494444,66040,124449.91,152712,2.7025,1361598,48.33102676,14.27,2.5,3,16.28,59,0.405318,0.9784,0.100545429,0.085252111,44203772,0.003716272,4.224084369,217443.3333
"MHL",NA,0.186737033,NA,NA,NA,12.636,103.61,0,3.444,0,NA,12.06,NA,0,0,NA,0.0089967,NA,8.06e-06,0.0102165,NA,NA,NA,NA
"MKD",NA,0.180806,83.9,1.509332379,3.260721873,998,1749.17,350,NA,19928,NA,9.65,2.5,0,9.38,96,0.285831,0.9842,0.135727054,0.043494222,655000,0.001003384,7.631311417,NA
"MLI",NA,NA,81,1.577172091,1.529182839,4715,44220.73,92480,NA,121353,104.3539354,8.23,2.5,0,29.41,93,0.435324,0.998,0.128503686,0.0006716,6111606,0.008134279,1.771035516,23.34
"MLT",NA,NA,79.5,NA,NA,0.347,912.8,0,3.818,3936,39.74599241,23.69,2.5,0,33.33,NA,0.0345295,NA,0.17,0.025839714,0,0,NA,NA
"MMR",NA,0.405317667,97.1,1.841438608,1.431301218,29041,104956.4,863450,2.946,159383,95.20490718,7.17,14.2,0,16.26,16,0.396303,0.9785,0.073674491,0.0200548,44286000,0.006843325,11.60119151,7684.253333
"MNE",NA,0.385466,88.6,3.244982986,3.783882653,827,0,662,3.001,1280,NA,4.06,2.5,25,0,40,0.203438,0.9838,0.15936687,0.066655556,968000,0.000293562,7.815499401,NA
"MNG",NA,0.152884,61.3,15.65734218,6.081880321,12552.8,19423.53,63,NA,18495,11.56909306,17.4,20.5,0,16.18,78,0.434887,0.9959,0.146653773,0.0051495,762000,0.001746819,5.889200318,NA
"MNP",NA,0.262311667,NA,NA,NA,29.496,NA,0,4.5,NA,NA,7.58,NA,NA,30.77,NA,0.0259834,NA,0.042571103,0.046018333,NA,NA,NA,NA
"MOZ",49132,0.11799,85.7,2.062178493,0.868013431,37940,23347.55,104181,3.163,47763,97.31161491,21.59,25.3,0,27.78,25,0.503852,0.994,0.145094343,0.020368571,18708000,0.006272466,1.968104238,NA
"MRT",NA,NA,81,4.475215208,2.543085134,224.5,4795.73,15000,2,0,NA,0.62,5.6,0,10,94,0.393351,0.9963,0.014297413,0.0021076,2009133,0,1.012268107,52.82
"MSR",NA,0.473683667,91.4,NA,NA,2.5,NA,0,4.5,NA,NA,10.92,NA,NA,0,NA,0,NA,0.17,0.0508475,NA,3.22e-05,NA,NA
"MTQ",NA,0.532398667,95.9,0.385152287,2.082356458,48.5,NA,0,3.485,NA,NA,69.14,NA,NA,80,NA,0.252704,0.9911,0.169999378,0.138888833,12410,0.000422936,NA,NA
"MUS",NA,0.309231333,91.4,0.706962934,3.455172181,38.6,838.3,0,3.538,8125,16.00103129,4.75,2.5,33,0,72,0.089103,0.9791,0.091960828,0.0299605,2540,0,NA,4311.333333
"MWI",NA,0.057724367,90.9,0.660554299,0.80759978,3147,19759.05,147889,NA,111754,91.29834452,16.89,20.7,0,60,58,0.372889,0.9952,0.159221477,0.012418143,7060730,0.007087021,2.287237803,3089.406667
"MYS",675810,0.693529,96.6,2.410127973,3.707663139,22195,102146.13,5937,2.423,508396,9.334134113,19.14,2.5,13,3.51,27,0.275483,0.9161,0.158337496,0.0336978,20405075,0.015432687,5.397634745,NA
"MYT",NA,0.195996667,95.5,NA,NA,5.82,NA,NA,3.007,NA,NA,12.11,NA,NA,0,NA,0.00932647,NA,0.17,0.046052667,26650,0.000538757,NA,NA
"NAM",152888,NA,67.8,6.882861299,2.482740312,6919,3700.48,4927,2.898,1076,NA,37.89,42.3,33,57.89,42,0.614886,0.9909,0.167813574,0.0394194,1286354,5.75e-05,1.777145682,NA
"NCL",NA,0.5446,95.5,7.672069312,3.579406405,839,NA,0,3.235,893,NA,54.41,NA,NA,61.11,NA,0.329643,0.9963,0.159949233,0.014895667,27162,0.000337493,0.742869655,NA
"NER",NA,NA,81.6,1.241797022,1.56175552,1142,76909.8,35252,NA,12575,64.66350041,17.32,9.5,0,40,52,0.620122,0.9932,0.134790234,0.0044188,11472609,0,1.772307154,42.74
"NFK",NA,NA,NA,NA,NA,0.46,NA,0,4.116,NA,NA,9.35,NA,NA,0,NA,0,NA,0.17,0.142322,48,NA,NA,NA
"NGA",NA,0.312613333,93,0.697103207,1.16328039,6993,251147.6,337874,2.667,271875,94.38454846,13.93,7,0,66.67,6,0.292173,0.9892,0.150341361,0.011666143,74865002,0.004072907,6.328319946,NA
"NIC",21696,0.545355667,91.3,2.254850038,1.389607477,3114,9494.71,606,3.492,50567,47.08458237,37.23,16.6,0,35.29,49,0.510528,0.9124,0.164642933,0.075859571,6276135,0.004567939,2.880747024,8827.64
"NIU",NA,0.413091333,NA,NA,NA,18.1,2383.89,0,3.975,0,NA,9.71,NA,0,NA,51,0,NA,0.11632873,0.037088,46,NA,NA,NA
"NLD",136311,0.194842667,83.7,1.16578302,5.279510461,376,4771.57,1904,3.744,220310,46.33694117,11.33,2.5,70,46.15,15,0.15627,0.9853,0.169695564,0.212987,1251140,0.001507794,11.34017512,21822.74
"NOR",417899,0.309329,95.3,8.085324922,3.874369494,12112,1704.52,408,3.75666666666667,101748,20.25774608,16.97,2.5,72,32.43,NA,0.333001,0.9951,0.15493401,0.314578375,12386886,0.003120986,2.661050646,1598.666667
"NPL",NA,0.391314667,92.3,0.593546495,0.97764178,3636,37720.24,21500,NA,96718,82.90482404,23.63,7.8,0,3.7,68,0.434704,0.9983,0.141164513,0.0360814,13588319,0.000112258,15.59490527,864.85
"NRU",NA,0.1505823,NA,NA,NA,0,90.5,NA,3.32,0,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA
"NZL",1263820,0.352578667,68.1,10.1407718,5.597861635,10152,9069.52,832,3.25066666666667,327602,14.68157392,32.55,2.5,0,32.14,3,0.374363,0.9874,0.164787196,0.15303425,29956000,0.005673096,1.381138837,NA
"OMN",NA,NA,85.2,1.915058543,7.519537842,2,1405.95,0,3.4435,0,15.11122817,2.57,2.5,0,3.03,NA,0.352664,0.9996,0.04311766,0.0450145,44005,0,2.190284648,NA
"PAK",NA,0.093383467,90.4,0.346582276,0.78942371,1472,261252.31,132456,2.771,3134420,21.22554631,12.31,22,0,18.75,17,0.409698,0.9904,0.088903661,0.0053934,32523349,2.47e-06,7.742026119,NA
"PAN",42884,0.609637,90.7,2.943334397,2.792606516,4617,7860.15,405,2.707,19161,22.81221265,20.89,9.5,0,18.52,95,0.359829,0.9868,0.156893205,0.092353143,1261798,0.00185136,3.484345789,3848.64
"PCN",NA,NA,NA,NA,NA,3.5,NA,0,1.68,NA,NA,94.3,NA,NA,0,NA,0,NA,0.136384381,0.011905,NA,NA,NA,NA
"PER",498837,0.644885,92.4,3.969086387,2.277775526,73973,29660.8,37499,2.944,265828,38.26446937,21.27,7.5,12,23.24,35,0.565954,0.9831,0.140170873,0.036062714,8785000,0.002133012,1.952532323,38440.79333
"PHL",NA,0.536297667,91.7,0.543006077,1.100246161,8040,136444.37,203366,2.78,689691,58.45519549,15.32,13.5,0,18.9,13,0.331411,0.9616,0.143662076,0.0301478,16073741,0.003542894,4.490559833,NA
"PLW",NA,0.616235667,NA,NA,NA,40.303,NA,0,4.372,0,NA,27.94,NA,0,11.11,63,0.094277,NA,0.169319758,0.231052,NA,0,NA,NA
"PNG",36491,0.865683667,100.4,3.923425673,1.911742942,33559,10974.91,19308,2.555,16608,NA,3.07,NA,0,0,98,0.364519,0.9964,0.026235959,0.0167458,9412186,0.004211044,2.408725521,NA
"POL",6939250,0.326734667,86.5,2.079661288,4.443234787,9435,61037.66,18376,3.459,1631990,45.77246869,39.62,2.5,56,36.21,2,0.376748,0.995,0.16997874,0.046117111,40862038,0.004087911,8.454925025,45098.08
"PRI",NA,0.482225667,95.8,NA,NA,495.95,NA,0,3.61,NA,NA,7.44,NA,NA,7.41,NA,0.0781389,0.977,0.151507684,0.089106857,NA,0.00137909,1.165603578,NA
"PRK",NA,0.308183,99.1,0.599850608,1.16555478,5031,15973.02,5200,4.023,NA,46.97285369,2.44,41.6,0,0,NA,0.0625688,0.9948,0.033884042,0.0179844,7606054,0.002088485,10.89344904,NA
"PRT",371426,0.150627,88.7,1.509965734,3.884287957,3182,11151.78,1,3.77833333333333,125213,46.60132374,22.96,2.5,18,25.47,NA,0.30191,0.9818,0.169993897,0.110367333,10866000,0.020020612,4.7951219,23638.25333
"PRY",25022,0.318612,76.6,10.52065605,4.163193208,15323,42884.92,21594,NA,132588,100.2897871,6.51,10.4,0,13.79,11,0.379389,0.9185,0.121693622,0.046848429,11062202,0.011498417,4.486779877,NA
"PSE",NA,NA,79.5,NA,NA,9.17,534.38,0,3.576,NA,NA,NA,NA,0,0,NA,0.0490211,0.9774,0.017520677,0.1143722,NA,0.000211941,3.812196493,NA
"PYF",NA,0.3119,NA,1.374011472,4.73421158,155,NA,53,3.328,184,NA,1.96,NA,NA,0,NA,0,1,0.029674943,0.012279,5549,NA,0.611099621,61.22
"QAT",NA,NA,83.2,1.239431793,10.80342414,0,128.32,0,2.577,156860,NA,2.45,NA,0,0,NA,0,0.9843,0.103757951,0.2583265,5092,NA,2.344636679,NA
"REU",NA,0.278626,83.6,0.181041653,3.653639123,88,NA,0,3.509,NA,NA,76.33,NA,NA,62.5,NA,0.326035,0.9106,0.17,0.06696425,105905,5.02e-05,NA,NA
"ROU",2523707,0.214874,86.4,2.321721478,2.707599637,6861,37274.43,4464,4.495,303562,63.88379369,24.35,2.5,0,21.54,37,0.299521,0.9899,0.162052133,0.021997889,15329913,0.001377906,8.990755501,13393.6
"RUS",41277466,0.354769333,92.9,6.791436635,5.689232681,814930.5,270336.34,286539,3.55083333333333,1194490,NA,9.72,2.5,0,6.61,42,0.408019,0.993,0.099277271,0.00279825,203000170,0.003063629,2.345649264,NA
"RWA",NA,0.195162333,95.4,0.540610819,0.865194051,480,10223.75,29334,NA,6914,118.3247868,9.12,31.6,8,15.38,44,0.302376,0.996,0.133427637,0.02384275,6211927,0.004440641,5.716606557,3218.62
"SAU",NA,NA,84.7,0.49784116,5.614569209,977,9086.57,0,2.786,335390,28.31824373,4.33,2.5,0,11.32,NA,0.434611,0.9983,0.089961378,0.011908,274910,0,2.495045522,NA
"SDN",NA,0.012837293,81.1,NA,NA,19209.938,7228.45,31251,3.2,150570,47,2.28,NA,0,NA,NA,0.494267,0.9967,0.037493118,0.000393,15740000,0.000110789,2.88386415,NA
"SEN",NA,NA,86.8,1.045092389,1.210005418,8273,17049.96,30010,3.702,21224,64.28678548,25.21,10,0,5.56,29,0.409435,0.998,0.168017671,0.0250964,6334127,0.007417475,2.39995034,NA
"SGP",NA,0.488726,75.4,0.050007132,7.974758399,16.35,337.16,1971,4.163,0,0.91801057,5.62,NA,0,0,4,0.0672424,NA,0.162001518,0.039975,30665,0.008250261,NA,NA
"SGS",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,100.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHN",NA,NA,93.1,NA,NA,2,NA,0,4.174,NA,NA,36.15,NA,NA,38.46,NA,0.034483,NA,0.144941728,0.002898667,NA,NA,NA,NA
"SJM",NA,NA,99.8,NA,NA,0,NA,NA,NA,NA,NA,65.44,NA,NA,NA,NA,0.562018,1,0.169897086,0.1530445,NA,NA,0.577216745,NA
"SLB",39401,0.866362333,103.2,4.361685295,1.285124673,2185,959.39,0,4.292,NA,NA,2.21,11.3,0,2.7,67,0.168218,0.9749,0.024404606,0.0707485,2477434,0.005460296,1.117166609,NA
"SLE",NA,0.382145667,94.7,1.240046048,1.235223501,3044,15886.34,2100,2.612,0,58.58098669,9.39,22.3,0,70,19,0.200058,0.9852,0.119900441,0.002542667,5872870,0.041432253,4.202257281,NA
"SLV",NA,0.397775667,91.5,0.61495175,2.07063678,265,12622.73,458,3.44,60436,30.82333634,8.78,12.4,0,0,19,0.262221,0.9894,0.141257287,0.090827714,4884763,0.002415836,3.576885422,9492.313333
"SMR",NA,NA,81.6,NA,NA,0,NA,0,NA,0,NA,NA,2.5,0,NA,NA,0,NA,0,0.073538667,NA,0.000201645,NA,NA
"SOM",NA,0.0557061,80.4,1.265299354,1.237879656,6363,4507.84,200,3.089,0,24.74098051,0.83,NA,0,0,NA,0.0843119,0.9973,0.007804572,0.000720857,14148437,0.000756569,2.665261151,NA
"SPM",NA,0.458340667,94.4,NA,NA,2.8,NA,0,3.878,NA,NA,2.95,2.5,NA,NA,NA,0.012679,NA,0.100151099,0.043930571,600,0,NA,NA
"SRB",1001347,0.184388,87.1,1.254985361,2.69861439,2720,34539.47,3150,NA,253677,49.07392997,6.15,2.5,50,0,65,0.256469,0.9911,0.079484452,0.049628889,7583000,0.001031183,9.024260885,NA
"SSD",NA,0.083527133,NA,NA,NA,7157,NA,37000,NA,0,NA,15.5,NA,0,0,NA,0.476611,0.9983,0.149826546,0.002444,4383000,0.000215789,6.740892704,NA
"STP",NA,0.376004333,98,0.873061592,1.485021727,53.6,234.48,0,3.446,NA,NA,29.21,6.6,0,0,NA,0.189486,NA,0,0.0409358,124234,0,NA,NA
"SUR",386200,1.020920333,96.4,89.33407946,4.252643657,15332,2064.17,650,3.722,9399,52.10723044,14.52,8,0,NA,98,0.528779,0.9946,0.142638196,0.0195035,541916,0.000854578,1.967867263,1195.96
"SVK",149387,0.287636667,90.3,2.707053026,4.060378442,1940,5313.64,1971,NA,129642,NA,37.28,2.5,69,5,14,0.377218,0.9909,0.17,0.052784111,9167980,0.002202742,9.105111758,3239.806667
"SVN",260291,0.396759333,93.2,2.345048696,5.810869861,1248,3839.28,141,3.631,28285,NA,53.64,2.5,29,31.43,15,0.341339,0.9893,0.17,0.093355,5099340,0.000792046,7.692525804,1960.853333
"SWE",12216619,0.432183,93.4,10.6248383,7.248413681,28073,5365.75,10520,3.649,181055,57.12462164,14.47,2.5,63,NA,13,0.273924,0.9798,0.167578278,0.449569375,73300000,0.007747578,3.422340716,3542.666667
"SWZ",124527,0.076413,94.9,0.876842256,2.013592666,586,2497.84,65,NA,0,45.00950314,4.1,26.8,0,NA,NA,0.205916,0.9841,0.053771281,0.08563275,2059029,0.006853353,5.057326984,NA
"SXM",NA,NA,NA,NA,NA,NA,NA,NA,2.887,NA,NA,NA,NA,NA,0,NA,0,NA,0,0.076007333,NA,0,NA,NA
"SYC",NA,0.1956453,94.3,NA,NA,40.666,151.73,0,3.632,19,NA,42.1,NA,0,10,86,0.137984,NA,0.163510607,0.01336125,12840,0,NA,NA
"SYR",NA,NA,79.6,0.602512183,1.507860079,491,22462.11,2400,3.01,23546,48.87568866,0.69,NA,0,NA,42,0.035296,0.9972,0.005320602,0.020169833,71428,0.022589928,4.617295222,NA
"TCA",NA,0.214333,95.5,NA,NA,34.4,NA,0,3.191,NA,NA,44.39,NA,NA,NA,NA,0.208129,0.9891,0.143746254,0.068087333,1085,0.001958309,1.615392804,NA
"TCD",NA,NA,80.8,2.028376337,1.455627627,4875,28714.33,110000,NA,NA,75.40260569,20.35,34.4,0,50,62,0.564584,0.9942,0.142187908,0.0043764,8300404,0.006324279,3.610489896,NA
