"hdi_2018","ISO_Alpha_3","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"0.646","NAM",NA,12366.27969,51,2448.301
"0.394","NER",NA,12927.65499,32,22442.822
"0.539","NGA",NA,474516.65,25,195874.683
"0.66","NIC",365.66,12520.88529,22,6465.501
"0.944","NLD",530.27,907050.8631,82,17059.56
"0.957","NOR",530.48,403336.3636,84,5337.962
"0.602","NPL",NA,30714.93474,33,28095.714
"0.931","NZL",492.69,206768.6733,88,4743.131
"0.813","OMN",414.85,76331.51867,54,4829.473
"0.557","PAK",NA,256996.3478,31,212228.286
"0.815","PAN",368.96,66787.86684,35,4176.869
"0.777","PER",419.49,226850.3928,38,31989.26
"0.718","PHL",NA,359354.4378,34,106651.394
"0.826","PLW",NA,280.429406,NA,17.907
"0.555","PNG",NA,24969.70315,27,8606.323
"0.88","POL",528.84,595862.0869,56,37921.592
"0.864","PRT",525.21,238785.085,61,10256.193
"0.728","PRY",366.83,38086.70771,28,6956.066
"0.708","PSE",NA,17058.7,NA,4862.979
"0.848","QAT",438.9,183466.2088,63,2781.682
"0.828","ROU",469.42,250075.9688,44,19506.114
"0.824","RUS",551.63,1692930.151,30,145734.038
"0.543","RWA",NA,10355.25071,54,12301.97
"0.854","SAU",375.6,792966.9567,53,33702.756
"0.51","SDN",NA,34895.36208,16,41801.533
"0.512","SEN",NA,23664.51507,45,15854.323
"0.938","SGP",619.17,372073.8917,85,5757.499
"0.567","SLB",NA,1302.683941,42,652.857
"0.452","SLE",NA,4121.733685,33,7650.15
"0.673","SLV",NA,27022.64,36,6420.746
"0.806","SRB",512.22,51475.03691,38,8802.754
"0.433","SSD",NA,4959.75692,12,10975.927
"0.625","STP",NA,421.777679,47,211.028
"0.738","SUR",NA,3697.313623,38,575.99
"0.86","SVK",495.32,105079.673,49,5453.014
"0.917","SVN",518.04,54174.22731,60,2077.837
"0.945","SWE",509.15,530883.869,85,9971.638
"0.611","SWZ",NA,4594.332076,33,1136.281
