"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"BOL",145,4.97673374242057,134,4.89783979995091,"0.718",NA,40895.32284,31,11353.142
"EGY",144,4.969813299576,142,4.95582705760126,"0.707",397.83,317359.2932,33,98423.598
"EST",137,4.91998092582813,363,5.89440283426485,"0.892",542.42,31471.10066,75,1322.92
"GEO",136,4.91265488573605,540,6.29156913955832,"0.812",459.68,17742.9347,56,4002.942
"HKG",132,4.88280192258637,343,5.83773044716594,"0.949",605.4,365710.755,77,7371.73
"ZWE",113,4.72738781871234,122,4.80402104473326,"0.571",NA,21440.75884,24,14438.802
"LKA",110,4.70048036579242,116,4.75359019110636,"0.782",NA,84008.77393,38,21228.763
"PRI",104,4.64439089914137,119,4.77912349311153,NA,396.29,104988.586,NA,3039.596
"SVK",104,4.64439089914137,226,5.42053499927229,"0.86",495.32,105079.673,49,5453.014
"BEN",103,4.63472898822964,129,4.85981240436167,"0.545",NA,14403.22012,41,11485.044
"MWI",103,4.63472898822964,84,4.43081679884331,"0.483",NA,8099.266794,30,18143.217
"KHM",101,4.61512051684126,91,4.51085950651685,"0.594",NA,27097.96382,21,16249.792
"SEN",100,4.60517018598809,65,4.17438726989564,"0.512",NA,23664.51507,45,15854.323
"SGP",100,4.60517018598809,358,5.8805329864007,"0.938",619.17,372073.8917,85,5757.499
"BFA",96,4.56434819146784,81,4.39444915467244,"0.452",NA,15990.80321,40,19751.466
"MOZ",91,4.51085950651685,56,4.02535169073515,"0.456",NA,15296.74515,25,29496.004
"SDN",91,4.51085950651685,48,3.87120101090789,"0.51",NA,34895.36208,16,41801.533
"HRV",85,4.44265125649032,170,5.13579843705026,"0.851",491.55,60415.17386,47,4156.405
"SVN",84,4.43081679884331,210,5.34710753071747,"0.917",518.04,54174.22731,60,2077.837
"URY",84,4.43081679884331,128,4.85203026391962,"0.817",445.45,56045.9527,71,3449.285
"MAR",82,4.40671924726425,95,4.55387689160054,"0.686",380.75,119700.6229,40,36029.093
"SRB",82,4.40671924726425,170,5.13579843705026,"0.806",512.22,51475.03691,38,8802.754
"TUN",82,4.40671924726425,111,4.70953020131233,"0.74",384.12,38797.40893,44,11565.201
"NCL",76,4.33073334028633,105,4.65396035015752,NA,NA,9879.709561,NA,279.993
"GUF",74,4.30406509320417,61,4.11087386417331,NA,NA,NA,NA,282.938
"PNG",74,4.30406509320417,38,3.63758615972639,"0.555",NA,24969.70315,27,8606.323
"FJI",71,4.26267987704132,79,4.36944785246702,"0.743",NA,5504.448601,NA,883.483
"MMR",71,4.26267987704132,58,4.06044301054642,"0.583",NA,76784.53394,28,53708.32
"BGR",70,4.24849524204936,126,4.83628190695148,"0.816",490.67,67925.56942,44,7051.608
"GRL",67,4.20469261939097,50,3.91202300542815,NA,NA,3023.601252,NA,56.564
"JEY",67,4.20469261939097,60,4.0943445622221,NA,NA,NA,NA,NA
"NAM",65,4.17438726989564,64,4.15888308335967,"0.646",NA,12366.27969,51,2448.301
"JOR",61,4.11087386417331,395,5.97888576490112,"0.729",387.01,44502.8169,49,9965.318
"DZA",60,4.0943445622221,61,4.11087386417331,"0.748",375.14,171157.8631,36,42228.408
"VEN",60,4.0943445622221,94,4.54329478227,"0.711",NA,134960.2885,15,28887.118
"ZMB",60,4.0943445622221,68,4.21950770517611,"0.584",NA,23085.06114,33,17351.708
"BWA",58,4.06044301054642,73,4.29045944114839,"0.735",398.47,18340.57337,60,2254.068
"PRY",58,4.06044301054642,19,2.94443897916644,"0.728",366.83,38086.70771,28,6956.066
"UKR",55,4.00733318523247,93,4.53259949315326,"0.779",NA,153781.1326,33,44246.156
"BLZ",54,3.98898404656427,33,3.49650756146648,"0.716",NA,1879.616778,NA,383.071
"LTU",54,3.98898404656427,133,4.89034912822175,"0.882",523.24,54627.41186,60,2801.264
"GAB",51,3.93182563272433,49,3.89182029811063,"0.703",NA,16887.88874,30,2119.275
"NIC",51,3.93182563272433,37,3.61091791264422,"0.66",365.66,12520.88529,22,6465.501
"SAU",49,3.89182029811063,172,5.14749447681345,"0.854",375.6,792966.9567,53,33702.756
"ISL",46,3.8286413964891,100,4.60517018598809,"0.949",511.8,24188.03572,75,336.713
"GTM",45,3.80666248977032,33,3.49650756146648,"0.663",389.02,76710.40253,25,17247.849
"AIA",44,3.78418963391826,12,2.484906649788,NA,NA,379.58436,NA,14.731
"RWA",44,3.78418963391826,35,3.55534806148941,"0.543",NA,10355.25071,54,12301.97
"BTN",43,3.76120011569356,43,3.76120011569356,"0.654",NA,2564.460096,68,754.388
"PYF",42,3.73766961828337,14,2.63905732961526,NA,NA,6023.367689,NA,277.679
"GMB",40,3.68887945411394,8,2.07944154167984,"0.496",NA,1822.863404,37,2280.094
"CYP",38,3.63758615972639,64,4.15888308335967,"0.887",518,24565.30085,57,1189.265
"ALB",37,3.61091791264422,23,3.13549421592915,"0.795",436.73,15278.07276,36,2882.74
"TGO",37,3.61091791264422,25,3.2188758248682,"0.515",NA,7270.01341,29,7889.093
"SLB",36,3.58351893845611,31,3.43398720448515,"0.567",NA,1302.683941,42,652.857
"HND",35,3.55534806148941,22,3.09104245335832,"0.634",NA,25095.35563,24,9587.522
"BHS",34,3.52636052461616,24,3.17805383034795,"0.814",NA,13578.8,63,385.637
"IRQ",34,3.52636052461616,19,2.94443897916644,"0.674",NA,225232.3736,21,38433.6
"AFG",32,3.46573590279973,20,2.99573227355399,"0.511",NA,17876.54643,19,37171.921
"LVA",31,3.43398720448515,63,4.14313472639153,"0.866",508.22,34102.91358,57,1928.459
"SYC",31,3.43398720448515,23,3.13549421592915,"0.796",NA,1698.865195,66,97.096
"AGO",29,3.36729582998647,18,2.89037175789616,"0.581",NA,85000.61246,27,30809.787
"LBN",28,3.3322045101752,50,3.91202300542815,"0.744",454.42,53367.04227,25,6859.408
"JAM",27,3.29583686600433,33,3.49650756146648,"0.734",NA,15830.76637,44,2934.847
"SUR",27,3.29583686600433,13,2.56494935746154,"0.738",NA,3697.313623,38,575.99
"SWZ",27,3.29583686600433,30,3.40119738166216,"0.611",NA,4594.332076,33,1136.281
"MUS",26,3.25809653802148,36,3.58351893845611,"0.804",NA,14180.4379,53,1267.185
"SLE",26,3.25809653802148,18,2.89037175789616,"0.452",NA,4121.733685,33,7650.15
"KAZ",25,3.2188758248682,27,3.29583686600433,"0.825",536.11,181667.185,38,18319.618
"WSM",25,3.2188758248682,19,2.94443897916644,"0.715",NA,844.656299,NA,196.129
"CPV",24,3.17805383034795,13,2.56494935746154,"0.665",NA,1981.846171,58,543.767
"GUY",24,3.17805383034795,25,3.2188758248682,"0.682",NA,5173.760192,41,779.006
"TON",23,3.13549421592915,33,3.49650756146648,"0.725",NA,508.414689,NA,103.197
"TCD",22,3.09104245335832,377,5.93224518744801,"0.398",NA,11271.66391,21,15477.729
