"x","n"
NA,21056
"Western Europe",7765
"North America",5926
"North-East Asia",4805
"South America",4299
"Oceania",3265
"South Asia",3078
"West Africa",2226
"Central Europe",2019
"Mesoamerica",1848
"South-East Asia",1795
"East Africa and adjacent islands",1704
"Southern Africa",1491
"Western Asia",758
"Caribbean",631
"North Africa",445
"Eastern Europe",415
"Central Africa",391
"Central Asia",57
"NA",49
