"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"SYR",NA,NA,NA,NA
"TCA",3,NA,6.39481593588131e-05,NA
"TCD",22,377,0.000468953168631296,0.00348760835175814
"TGO",37,25,0.000788693965425362,0.000231273763379187
"THA",287,363,0.00611770724532646,0.0033580950442658
"TJK",13,4,0.000277108690554857,3.700380214067e-05
"TKL",NA,NA,NA,NA
"TKM",2,NA,4.26321062392087e-05,NA
"TLS",NA,NA,NA,NA
"TON",23,33,0.000490269221750901,0.000305281367660527
"TTO",6,4,0.000127896318717626,3.700380214067e-05
"TUN",82,111,0.00174791635580756,0.00102685550940359
"TUR",402,576,0.00856905335408096,0.00532854750825647
"TUV",1,1,2.13160531196044e-05,9.25095053516749e-06
"TWN",NA,NA,NA,NA
"TZA",266,462,0.00567007012981476,0.00427393914724738
"UGA",220,210,0.00468953168631296,0.00194269961238517
"UKR",55,93,0.00117238292157824,0.000860338399770576
"UMI",NA,NA,NA,NA
"URY",84,128,0.00179054846204677,0.00118412166850144
"USA",4920,17091,0.104874981348454,0.158107995596548
"UZB",8,8,0.000170528424956835,7.40076042813399e-05
"VAT",NA,NA,NA,NA
"VCT",1,NA,2.13160531196044e-05,NA
"VEN",60,94,0.00127896318717626,0.000869589350305744
"VGB",NA,NA,NA,NA
"VIR",NA,NA,NA,NA
"VNM",327,311,0.00697034937011063,0.00287704561643709
"VUT",14,10,0.000298424743674461,9.25095053516749e-05
"WLF",1,NA,2.13160531196044e-05,NA
"WSM",25,19,0.000532901327990109,0.000175768060168182
"XAD",NA,NA,NA,NA
"XCA",NA,NA,NA,NA
"XCL",NA,NA,NA,NA
"XKO",NA,NA,NA,NA
"XNC",NA,NA,NA,NA
"XPI",NA,NA,NA,NA
"XSP",NA,NA,NA,NA
"YEM",17,17,0.000362372903033274,0.000157266159097847
"ZAF",1070,1708,0.0228081768379767,0.0158006235140661
"ZMB",60,68,0.00127896318717626,0.000629064636391389
"ZWE",113,122,0.00240871400251529,0.00112861596529043
