"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"ROU",209,5.34233425196481,335,5.81413053182507,"0.828",469.42,250075.9688,44,19506.114
"EGY",193,5.26269018890489,171,5.14166355650266,"0.707",397.83,317359.2932,33,98423.598
"HKG",186,5.2257466737132,433,6.07073772800249,"0.949",605.4,365710.755,77,7371.73
"EST",180,5.19295685089021,442,6.0913098820777,"0.892",542.42,31471.10066,75,1322.92
"ZWE",177,5.17614973257383,169,5.12989871492307,"0.571",NA,21440.75884,24,14438.802
"PRI",176,5.17048399503815,164,5.0998664278242,NA,396.29,104988.586,NA,3039.596
"KOR",163,5.09375020080676,626,6.4393503711001,"0.916",607.23,1646539.43,61,51171.706
"LKA",161,5.08140436498446,156,5.04985600724954,"0.782",NA,84008.77393,38,21228.763
"MWI",146,4.98360662170834,103,4.63472898822964,"0.483",NA,8099.266794,30,18143.217
"SEN",136,4.91265488573605,78,4.35670882668959,"0.512",NA,23664.51507,45,15854.323
"SVK",134,4.89783979995091,277,5.62401750618734,"0.86",495.32,105079.673,49,5453.014
"BEN",131,4.87519732320115,155,5.04342511691925,"0.545",NA,14403.22012,41,11485.044
"JEY",131,4.87519732320115,98,4.58496747867057,NA,NA,NA,NA,NA
"BFA",128,4.85203026391962,102,4.62497281328427,"0.452",NA,15990.80321,40,19751.466
"SGP",127,4.84418708645859,423,6.04737217904628,"0.938",619.17,372073.8917,85,5757.499
"SDN",123,4.81218435537242,61,4.11087386417331,"0.51",NA,34895.36208,16,41801.533
"PNG",122,4.80402104473326,43,3.76120011569356,"0.555",NA,24969.70315,27,8606.323
"KHM",120,4.78749174278205,104,4.64439089914137,"0.594",NA,27097.96382,21,16249.792
"GUF",115,4.74493212836325,68,4.21950770517611,NA,NA,NA,NA,282.938
"MOZ",115,4.74493212836325,65,4.17438726989564,"0.456",NA,15296.74515,25,29496.004
"MAR",111,4.70953020131233,116,4.75359019110636,"0.686",380.75,119700.6229,40,36029.093
"NCL",109,4.69134788222914,127,4.84418708645859,NA,NA,9879.709561,NA,279.993
"VEN",108,4.68213122712422,132,4.88280192258637,"0.711",NA,134960.2885,15,28887.118
"SVN",105,4.65396035015752,248,5.51342874616498,"0.917",518.04,54174.22731,60,2077.837
"NAM",103,4.63472898822964,93,4.53259949315326,"0.646",NA,12366.27969,51,2448.301
"HRV",102,4.62497281328427,197,5.28320372873799,"0.851",491.55,60415.17386,47,4156.405
"URY",102,4.62497281328427,143,4.96284463025991,"0.817",445.45,56045.9527,71,3449.285
"TUN",100,4.60517018598809,131,4.87519732320115,"0.74",384.12,38797.40893,44,11565.201
"GRL",97,4.57471097850338,59,4.07753744390572,NA,NA,3023.601252,NA,56.564
"NIC",88,4.47733681447821,50,3.91202300542815,"0.66",365.66,12520.88529,22,6465.501
"FJI",87,4.46590811865458,91,4.51085950651685,"0.743",NA,5504.448601,NA,883.483
"SRB",86,4.45434729625351,175,5.16478597392351,"0.806",512.22,51475.03691,38,8802.754
"BGR",85,4.44265125649032,147,4.99043258677874,"0.816",490.67,67925.56942,44,7051.608
